Relative Position,Position X,Position Y,laptopap,rp1ap,rp2ap
Relative Position,Position X,Position Y,2437,2437,2437
Relative Position,Position X,Position Y,00:0b:6b:de:ea:23,00:0b:6b:de:ea:36,00:23:eb:08:cf:c3
1,1,1,-39,-41,-70
1,1,1,-40,-40,-72
1,1,1,-33,-38,-72
1,1,1,-35,-44,-69
1,1,1,-35,-37,-70
2,1,2,-30,-47,-71
2,1,2,-29,-43,-69
2,1,2,-73,-41,-69
2,1,2,-31,-34,-66
2,1,2,-36,-42,-70
3,1,3,-33,-39,-67
3,1,3,-39,-45,-72
3,1,3,-32,-39,-78
3,1,3,-44,-38,-74
3,1,3,-32,-39,-65
4,1,4,-34,-40,-66
4,1,4,-38,-40,-69
4,1,4,-35,-48,-71
4,1,4,-41,-43,-66
4,1,4,-36,-49,-68
5,1,5,-39,-43,-68
5,1,5,-38,-45,-67
5,1,5,-39,-41,-67
5,1,5,-39,-41,-67
5,1,5,-37,-47,-67
6,1,6,-38,-45,-71
6,1,6,-66,-37,-70
6,1,6,-70,-35,-65
6,1,6,-37,-42,-67
6,1,6,-66,-32,-66
7,1,7,-44,-39,-64
7,1,7,-32,-44,-63
7,1,7,-34,-29,-68
7,1,7,-39,-33,-69
7,1,7,-40,-33,-66
8,1,8,-35,-35,-72
8,1,8,-46,-40,-64
8,1,8,-26,-36,-73
8,1,8,-36,-37,-67
8,1,8,-40,-36,-70
9,1,9,-69,-36,-72
9,1,9,100,100,100
9,1,9,-38,-34,-65
9,1,9,-66,-32,-68
9,1,9,-46,-28,-68
10,2,9,-40,-32,-66
10,2,9,-41,-35,-66
10,2,9,-40,-31,-65
10,2,9,-39,-32,-65
10,2,9,-34,-34,-69
10,2,9,-41,-37,-69
11,2,8,-37,-40,-70
11,2,8,-36,-33,-71
11,2,8,-37,-37,-67
11,2,8,-33,-37,-69
11,2,8,-37,-33,-65
12,2,7,-68,-73,-69
12,2,7,-76,-33,-70
12,2,7,-34,-36,-65
12,2,7,100,100,100
12,2,7,-40,-31,-71
13,2,6,-68,-33,-70
13,2,6,-39,-41,-71
13,2,6,-73,-24,-66
13,2,6,-70,-33,-71
13,2,6,-45,-29,-71
14,2,5,-44,-35,-70
14,2,5,-36,-39,-67
14,2,5,-39,-32,-69
14,2,5,-41,-40,-67
14,2,5,-47,-30,-67
15,2,4,-47,-41,-69
15,2,4,-41,-29,-73
15,2,4,-39,-32,-73
15,2,4,-37,-40,-66
15,2,4,-39,-41,-68
16,2,3,-39,-41,-68
16,2,3,-36,-33,-63
16,2,3,-39,-31,-68
16,2,3,-37,-40,-68
16,2,3,-43,-34,-64
16,2,3,-41,-35,-64
17,2,2,-37,-31,-64
17,2,2,-47,-31,-68
17,2,2,-42,-35,-69
17,2,2,-44,-26,-68
17,2,2,-41,-33,-65
18,2,1,-42,-35,-66
18,2,1,-42,-39,-72
18,2,1,-39,-44,-67
18,2,1,-52,-38,-63
18,2,1,-43,-33,-77
19,3,1,-43,-33,-77
19,3,1,-45,-35,-63
19,3,1,-38,-32,-65
19,3,1,-38,-67,-64
19,3,1,-39,-77,-67
